#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::00 - Foundation::Production
#
Vowel a.	あ	a	あ	sound: /a/	[sound:98fdfc0a7426.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Vowel i.	い	i	い	sound: /i/	[sound:3c01c77f19cd.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Vowel u.	う	u	う	sound: /u/	[sound:af2b29a995c7.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Vowel e.	え	e	え	sound: /e/	[sound:a60311a2fc88.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Vowel o.	お	o	お	sound: /o/	[sound:ac6bc7de7112.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless velar.	か	ka	か	sound: /ka/	[sound:288c9e077190.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless velar.	き	ki	き	sound: /ki/	[sound:27acc76c0055.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless velar.	く	ku	く	sound: /ku/	[sound:ac94e112183c.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless velar.	け	ke	け	sound: /ke/	[sound:d32afeb0abe6.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless velar.	こ	ko	こ	sound: /ko/	[sound:91714b00e5a3.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless alveolar.	さ	sa	さ	sound: /sa/	[sound:7a4faed063b6.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless alveolar.	し	shi	し	sound: /shi/	[sound:812f45bfcf7e.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless alveolar.	す	su	す	sound: /su/	[sound:5b8252a1e93f.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless alveolar.	せ	se	せ	sound: /se/	[sound:e1c730bd83c3.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless alveolar.	そ	so	そ	sound: /so/	[sound:b345d8cc8368.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless alveolar.	た	ta	た	sound: /ta/	[sound:cf4d17f99d10.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless alveolar.	ち	chi	ち	sound: /chi/	[sound:e022bea2e9d6.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless alveolar.	つ	tsu	つ	sound: /tsu/	[sound:0c414c812bd8.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless alveolar.	て	te	て	sound: /te/	[sound:e2d970611589.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless alveolar.	と	to	と	sound: /to/	[sound:a986a7bc9e03.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiced nasal.	な	na	な	sound: /na/	[sound:478d2f9eb192.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiced nasal.	に	ni	に	sound: /ni/	[sound:de3d1ecc94b2.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiced nasal.	ぬ	nu	ぬ	sound: /nu/	[sound:ad142ed0573d.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiced nasal.	ね	ne	ね	sound: /ne/	[sound:3a104bbe569e.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiced nasal.	の	no	の	sound: /no/	[sound:56377d14d4ef.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless labial.	は	ha	は	sound: /ha/	[sound:1fa0519cfd09.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless labial.	ひ	hi	ひ	sound: /hi/	[sound:469e92c9cf65.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless labial.	ふ	fu	ふ	sound: /fu/	[sound:382a438fd4c5.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless labial.	へ	he	へ	sound: /he/	[sound:72c746d609d4.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiceless labial.	ほ	ho	ほ	sound: /ho/	[sound:5a340fe4758d.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiced labial.	ま	ma	ま	sound: /ma/	[sound:400805e5a9e2.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiced labial.	み	mi	み	sound: /mi/	[sound:1c5425dae8c9.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiced labial.	む	mu	む	sound: /mu/	[sound:50029791cb9f.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiced labial.	め	me	め	sound: /me/	[sound:634540f05d98.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Voiced labial.	も	mo	も	sound: /mo/	[sound:3c6945772d72.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Glide y.	や	ya	や	sound: /ya/	[sound:bdab1b17397d.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
Glide y.	ゆ	yu	ゆ	sound: /yu/	[sound:44567171f335.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
