#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::00 - Foundation::Recognition

飴	あめ	(hard) candy (heiban (0))	Pitch-accent 0	heiban (0)	LH		雨	[sound:bad670d2cb1b.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
鼻	はな	nose (heiban (0))	Pitch-accent 0	heiban (0)	LH		花	[sound:8940dd82b056.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
踏む	ふむ	to step on (heiban (0))	Pitch-accent 0	heiban (0)	LH			[sound:cb853a3dc807.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
大抵	たいてい	mostly (heiban (0))	Pitch-accent 0	heiban (0)	LHHH			[sound:314de1bca77e.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
赤い	あかい	red (heiban (0))	Pitch-accent 0	heiban (0)	LHH			[sound:b9e5f9eea82a.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
鳴る	なる	to sound (heiban (0))	Pitch-accent 0	heiban (0)	LH			[sound:45794015d5f3.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
開く	あく	to open (heiban (0))	Pitch-accent 0	heiban (0)	LH			[sound:119daf93eeb9.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
開ける	あける	to open (a door, etc.) (heiban (0))	Pitch-accent 0	heiban (0)	LHH			[sound:8d2086f34297.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
上げる	あげる	to raise (heiban (0))	Pitch-accent 0	heiban (0)	LHH			[sound:0c5229f0adec.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
沸く	わく	to grow hot (e.g. water) (heiban (0))	Pitch-accent 0	heiban (0)	LH			[sound:6d1142468f08.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
漫画	まんが	cartoon (heiban (0))	Pitch-accent 0	heiban (0)	LHH			[sound:6a0b30d36103.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
遊ぶ	あすぶ	to play (games, sports) (heiban (0))	Pitch-accent 0	heiban (0)	LHH			[sound:4e0d1a774877.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
